"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:1.5,"W (z:1.6449,a:1.5,(0.15, 20))",500.0,0.0,93.0,101.7251
MG:-1 Var:1,z:1.6449 alpha:1.5,"W (z:1.6449,a:1.5,(0.15, 25))",500.0,0.0,274.0,218.2384
MG:-1 Var:1,z:1.6449 alpha:1.5,"W (z:1.6449,a:1.5,(0.2, 10))",408.1667,159.06,39.3333,27.5379
MG:-1 Var:1,z:1.6449 alpha:1.5,"W (z:1.6449,a:1.5,(0.2, 15))",500.0,0.0,42.0,26.2298
MG:-1 Var:1,z:1.6449 alpha:1.5,"W (z:1.6449,a:1.5,(0.2, 20))",500.0,0.0,92.6667,101.933
MG:-1 Var:1,z:1.6449 alpha:1.5,"W (z:1.6449,a:1.5,(0.2, 25))",500.0,0.0,159.3333,209.1156
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.1, 10))",500.0,0.0,276.0,214.7743
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.1, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.1, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.1, 25))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.15, 10))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.15, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.15, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.15, 25))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.2, 10))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.2, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.2, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"CT (z:1.6449,a:2,(0.2, 25))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2,"M (z:1.6449,a:2,10)",500.0,0.0,271.3333,222.8572
MG:-1 Var:1,z:1.6449 alpha:2,"M (z:1.6449,a:2,15)",500.0,0.0,274.0,218.2384
MG:-1 Var:1,z:1.6449 alpha:2,"M (z:1.6449,a:2,20)",500.0,0.0,274.6667,217.0837
MG:-1 Var:1,z:1.6449 alpha:2,"M (z:1.6449,a:2,25)",500.0,0.0,325.0,129.9038
MG:-1 Var:1,z:1.6449 alpha:2,"M (z:1.6449,a:2,30)",500.0,0.0,326.6667,127.0171
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.1, 10))",500.0,0.0,274.6667,217.0837
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.1, 15))",500.0,0.0,274.0,218.2384
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.1, 20))",500.0,0.0,275.6667,215.3517
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.1, 25))",500.0,0.0,324.6667,130.4812
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.15, 10))",500.0,0.0,274.6667,217.0837
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.15, 15))",500.0,0.0,274.0,218.2384
MG:-1 Var:1,z:1.6449 alpha:2,"T (z:1.6449,a:2,(0.15, 20))",500.0,0.0,275.6667,215.3517
