"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.1, 10))",500.0,0.0,174.6667,197.4369
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.1, 15))",500.0,0.0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.1, 20))",500.0,0.0,368.6667,54.2709
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.15, 10))",500.0,0.0,174.6667,197.4369
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.15, 15))",500.0,0.0,280.3333,130.6152
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.15, 20))",500.0,0.0,368.6667,54.2709
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.2, 10))",500.0,0.0,108.6667,86.2168
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.2, 15))",500.0,0.0,267.3333,151.6619
MG:-1 Var:1,z:1.6449 alpha:2,"WM (z:1.6449,a:2,(0.2, 20))",500.0,0.0,269.3333,151.6784
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.1, 10))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.1, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.1, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.15, 10))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.15, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.15, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.2, 10))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.2, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"CTM (z:1.6449,a:2.5,(0.2, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,10)",500.0,0.0,365.6667,59.4671
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,15)",500.0,0.0,300.6667,172.0504
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,20)",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,25)",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"SWM (z:1.6449,a:2.5,30)",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.1, 10))",500.0,0.0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.1, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.1, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.15, 10))",500.0,0.0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2.5,"TM (z:1.6449,a:2.5,(0.15, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.1, 10))",500.0,0.0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.1, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.1, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.15, 10))",500.0,0.0,366.6667,57.735
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.15, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.15, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.2, 10))",500.0,0.0,280.0,131.1488
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.2, 15))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.6449 alpha:2.5,"WM (z:1.6449,a:2.5,(0.2, 20))",500.0,0.0,400.0,0.0
MG:-1 Var:1,z:1.96 alpha:0.5,"CTM (z:1.96,a:0.5,(0.1, 10))",3.6142,1.1491,3.0,5.1962
