"Data (len:900, TCP:500)",z and alpha,Model (Parameters),ARL0,ARL0,ARL1,ARL1
,,,mean,std,mean,std
MG:-1 Var:1,z:1.96 alpha:1.5,"CTM (z:1.96,a:1.5,(0.2, 15))",500,0,177,195.2153
MG:-1 Var:1,z:1.96 alpha:1.5,"CTM (z:1.96,a:1.5,(0.2, 20))",500,0,267.6667,151.7707
MG:-1 Var:1,z:1.96 alpha:1.5,"SWM (z:1.96,a:1.5,10)",500,0,12,2
MG:-1 Var:1,z:1.96 alpha:1.5,"SWM (z:1.96,a:1.5,15)",500,0,23,5
MG:-1 Var:1,z:1.96 alpha:1.5,"SWM (z:1.96,a:1.5,20)",500,0,69.3333,71.5914
MG:-1 Var:1,z:1.96 alpha:1.5,"SWM (z:1.96,a:1.5,25)",500,0,72.3333,72.5006
MG:-1 Var:1,z:1.96 alpha:1.5,"SWM (z:1.96,a:1.5,30)",500,0,92.3333,65.1639
MG:-1 Var:1,z:1.96 alpha:1.5,"TM (z:1.96,a:1.5,(0.1, 10))",500,0,22.6667,14.8436
MG:-1 Var:1,z:1.96 alpha:1.5,"TM (z:1.96,a:1.5,(0.1, 15))",500,0,64,70.1498
MG:-1 Var:1,z:1.96 alpha:1.5,"TM (z:1.96,a:1.5,(0.1, 20))",500,0,83.3333,97.5773
MG:-1 Var:1,z:1.96 alpha:1.5,"TM (z:1.96,a:1.5,(0.15, 10))",500,0,22.6667,14.8436
MG:-1 Var:1,z:1.96 alpha:1.5,"TM (z:1.96,a:1.5,(0.15, 15))",500,0,63.3333,70.7413
MG:-1 Var:1,z:1.96 alpha:1.5,"WM (z:1.96,a:1.5,(0.1, 10))",500,0,22.6667,14.8436
MG:-1 Var:1,z:1.96 alpha:1.5,"WM (z:1.96,a:1.5,(0.1, 15))",500,0,64,70.1498
MG:-1 Var:1,z:1.96 alpha:1.5,"WM (z:1.96,a:1.5,(0.1, 20))",500,0,83.6667,97.2848
MG:-1 Var:1,z:1.96 alpha:1.5,"WM (z:1.96,a:1.5,(0.15, 10))",500,0,22.6667,14.8436
MG:-1 Var:1,z:1.96 alpha:1.5,"WM (z:1.96,a:1.5,(0.15, 15))",500,0,61.6667,72.2795
MG:-1 Var:1,z:1.96 alpha:1.5,"WM (z:1.96,a:1.5,(0.15, 20))",500,0,83,97
MG:-1 Var:1,z:1.96 alpha:1.5,"WM (z:1.96,a:1.5,(0.2, 10))",500,0,18.3333,8.0208
MG:-1 Var:1,z:1.96 alpha:1.5,"WM (z:1.96,a:1.5,(0.2, 15))",500,0,61.6667,72.2795
MG:-1 Var:1,z:1.96 alpha:1.5,"WM (z:1.96,a:1.5,(0.2, 20))",500,0,92.3333,91.1062
MG:-1 Var:1,z:1.96 alpha:2,"CTM (z:1.96,a:2,(0.1, 10))",500,0,280,131.1488
MG:-1 Var:1,z:1.96 alpha:2,"CTM (z:1.96,a:2,(0.1, 15))",500,0,400,0
MG:-1 Var:1,z:1.96 alpha:2,"CTM (z:1.96,a:2,(0.1, 20))",500,0,400,0
MG:-1 Var:1,z:1.96 alpha:2,"CTM (z:1.96,a:2,(0.15, 10))",500,0,280,131.1488
MG:-1 Var:1,z:1.96 alpha:2,"CTM (z:1.96,a:2,(0.15, 15))",500,0,400,0
MG:-1 Var:1,z:1.96 alpha:2,"CTM (z:1.96,a:2,(0.15, 20))",500,0,400,0
MG:-1 Var:1,z:1.96 alpha:2,"CTM (z:1.96,a:2,(0.2, 10))",500,0,400,0
MG:-1 Var:1,z:1.96 alpha:2,"CTM (z:1.96,a:2,(0.2, 15))",500,0,400,0
MG:-1 Var:1,z:1.96 alpha:2,"CTM (z:1.96,a:2,(0.2, 20))",500,0,400,0
MG:-1 Var:1,z:1.96 alpha:2,"SWM (z:1.96,a:2,10)",500,0,105,80.2932
MG:-1 Var:1,z:1.96 alpha:2,"SWM (z:1.96,a:2,15)",500,0,124,61.7333
MG:-1 Var:1,z:1.96 alpha:2,"SWM (z:1.96,a:2,20)",500,0,204.6667,102.0408
MG:-1 Var:1,z:1.96 alpha:2,"SWM (z:1.96,a:2,25)",500,0,235.3333,152.1359
MG:-1 Var:1,z:1.96 alpha:2,"SWM (z:1.96,a:2,30)",500,0,300.6667,172.0504
MG:-1 Var:1,z:1.96 alpha:2,"TM (z:1.96,a:2,(0.1, 10))",500,0,109.3333,87.3002
MG:-1 Var:1,z:1.96 alpha:2,"TM (z:1.96,a:2,(0.1, 15))",500,0,267.6667,151.117
MG:-1 Var:1,z:1.96 alpha:2,"TM (z:1.96,a:2,(0.1, 20))",500,0,368.3333,54.8483
MG:-1 Var:1,z:1.96 alpha:2,"TM (z:1.96,a:2,(0.15, 10))",500,0,109.3333,87.3002
MG:-1 Var:1,z:1.96 alpha:2,"TM (z:1.96,a:2,(0.15, 15))",500,0,267.3333,151.6619
MG:-1 Var:1,z:1.96 alpha:2,"WM (z:1.96,a:2,(0.1, 10))",500,0,174.6667,197.4369
MG:-1 Var:1,z:1.96 alpha:2,"WM (z:1.96,a:2,(0.1, 15))",500,0,280,207.8461
MG:-1 Var:1,z:1.96 alpha:2,"WM (z:1.96,a:2,(0.1, 20))",500,0,368.6667,54.2709
MG:-1 Var:1,z:1.96 alpha:2,"WM (z:1.96,a:2,(0.15, 10))",500,0,174.6667,197.4369
MG:-1 Var:1,z:1.96 alpha:2,"WM (z:1.96,a:2,(0.15, 15))",500,0,280.3333,130.6152
MG:-1 Var:1,z:1.96 alpha:2,"WM (z:1.96,a:2,(0.15, 20))",500,0,367,57.1577
MG:-1 Var:1,z:1.96 alpha:2,"WM (z:1.96,a:2,(0.2, 10))",500,0,108.6667,86.2168
MG:-1 Var:1,z:1.96 alpha:2,"WM (z:1.96,a:2,(0.2, 15))",500,0,267,152.2071
MG:-1 Var:1,z:1.96 alpha:2,"WM (z:1.96,a:2,(0.2, 20))",500,0,269,152.2268
MG:-1 Var:1,z:1.96 alpha:2.5,"CTM (z:1.96,a:2.5,(0.1, 10))",500,0,400,0
MG:-1 Var:1,z:1.96 alpha:2.5,"CTM (z:1.96,a:2.5,(0.1, 15))",500,0,400,0
